page_id	source_id	order_key	printed_page	pdf_page	section	page_kind	pass1	pass2	source_oid
PG-TASAKI2020-0146	TASAKI2020	000146	133	146	References	content	complete	complete	d6be4849b80cfe5cb3bfdd6b3716de5127f77d62
PG-TASAKI2020-0147	TASAKI2020	000147	134	147	References	content	complete	complete	fcdb421620ae43bd2c8f232ed59f2cf5df8e055b
PG-TASAKI2020-0148	TASAKI2020	000148	135	148	NONE	content	complete	complete	f9c400e68834010debc767ed3e6971e20029097c
PG-TASAKI2020-0149	TASAKI2020	000149	136	149	§5.1	content	complete	complete	e50785ae0bb8b1c0d00e9a9db9967712894de7df
PG-TASAKI2020-0150	TASAKI2020	000150	137	150	§5.1	content	complete	complete	6fc9a363490323c7c7a2da04a9ebf5819034db94
PG-TASAKI2020-0151	TASAKI2020	000151	138	151	§5.2	content	complete	complete	6e0543ffbba932d2bbcaa2accec78b0f9b4730ce
PG-TASAKI2020-0152	TASAKI2020	000152	139	152	§5.2	content	complete	complete	bf4ae1046752145ad75d94097833ac3f8d0adf09
PG-TASAKI2020-0153	TASAKI2020	000153	140	153	§5.3	content	complete	complete	6e4ed9b062fd906aaac0914628a7bdcba5b55d34
PG-TASAKI2020-0154	TASAKI2020	000154	141	154	§5.3	content	complete	complete	6ad734a84a942d927498ab8125a69c7242ccbd02
PG-TASAKI2020-0155	TASAKI2020	000155	142	155	§5.3	content	complete	complete	c8c33e59c3e820645693072672d72f41cc2a9f55
PG-TASAKI2020-0156	TASAKI2020	000156	143	156	§5.4	content	complete	complete	a33bf6d837834ae8fa696a4da24920652efdfcea
PG-TASAKI2020-0157	TASAKI2020	000157	144	157	§5.4	content	complete	complete	034697f718dcf5009901d7bb218ef12a9a9703dc
PG-TASAKI2020-0158	TASAKI2020	000158	145	158	§5.4	content	complete	complete	6db9123ba33aa179a3bf8b3b599d78b438b57366
PG-TASAKI2020-0159	TASAKI2020	000159	146	159	§5.4	content	complete	complete	6087cf1c799d563f68185c6c13f24fb37ab18f39
PG-TASAKI2020-0160	TASAKI2020	000160	147	160	§5.5	content	complete	complete	98a9e5eb3fed99120560a34abde2aad916e47eeb
PG-TASAKI2020-0161	TASAKI2020	000161	148	161	§5.5	content	complete	complete	5e63349da89b15478014b8dc82fb17418f22acac
PG-TASAKI2020-0162	TASAKI2020	000162	149	162	§5.5	content	complete	complete	a2c97691ee5dd1fa928df8e82438694115e70e25
PG-TASAKI2020-0163	TASAKI2020	000163	150	163	References	content	complete	complete	f689fdb759732919ffeb6bce0bb7bed37afec8de
PG-TASAKI2020-0164	TASAKI2020	000164	NONE	164	NONE	content	complete	complete	57301c84026c72e4a0aa1764f881e182d65916c5
PG-TASAKI2020-0165	TASAKI2020	000165	152	165	NONE	content	complete	complete	98d5c52cb8941c543a03945b8c63afde93ad1fd1
PG-TASAKI2020-0166	TASAKI2020	000166	153	166	NONE	content	complete	complete	36a04ed71ad5c096398f2593efc9117b04a4c329
